load_zone,period,peak_demand_mw
01-hermosillo,2016,1782.6354469999999
01-hermosillo,2021,2159.2184149999998
01-hermosillo,2026,2609.495312
02-cananea,2016,434.51887089999997
02-cananea,2021,556.73823320000008
02-cananea,2026,661.84427579999999
03-obregon,2016,871.38316070000008
03-obregon,2021,1042.6805650000001
03-obregon,2026,1282.7049890000001
04-los_mochis,2016,742.65456310000002
04-los_mochis,2021,917.94331950000003
04-los_mochis,2026,1112.613484
05-culiacan,2016,846.1525441
05-culiacan,2021,1019.352076
05-culiacan,2026,1255.056689
06-mazatlan,2016,422.56756789999997
06-mazatlan,2021,497.34211150000004
06-mazatlan,2026,602.96930639999994
07-juarez,2016,879.5385172
07-juarez,2021,1112.8682240000001
07-juarez,2026,1370.0208439999999
08-moctezuma,2016,558.52395860000001
08-moctezuma,2021,708.15339370000004
08-moctezuma,2026,824.31977029999996
09-chihuahua,2016,1693.4258420000001
09-chihuahua,2021,1940.6678329999997
09-chihuahua,2026,2254.015985
10-durango,2016,434.2062052
10-durango,2021,489.05517639999994
10-durango,2026,559.59311820000005
11-laguna,2016,1074.3816960000001
11-laguna,2021,1189.7611830000001
11-laguna,2026,1355.9687720000002
12-rio_escondido,2016,403.32556879999999
12-rio_escondido,2021,496.14912930000003
12-rio_escondido,2026,600.12415959999998
13-nuevo_laredo,2016,319.69805220000001
13-nuevo_laredo,2021,386.11839239999995
13-nuevo_laredo,2026,452.23578560000004
14-reynosa,2016,733.11435470000004
14-reynosa,2021,936.34567660000005
14-reynosa,2026,1165.1334060000002
15-matamoros,2016,387.09185789999998
15-matamoros,2021,464.3378328
15-matamoros,2026,543.97060850000003
16-monterrey,2016,5131.0584268800003
16-monterrey,2021,6328.7918025600002
16-monterrey,2026,7777.8950947200001
17-saltillo,2016,1437.022048
17-saltillo,2021,1681.2103750000001
17-saltillo,2026,2113.5097140000003
18-valles,2016,342.71166170000004
18-valles,2021,434.8373335
18-valles,2026,532.84417710000002
19-huasteca,2016,675.67275579999989
19-huasteca,2021,808.04017729999987
19-huasteca,2026,977.98880539999993
20-tamazunchale,2016,213.79410111999999
20-tamazunchale,2021,263.69965844000001
20-tamazunchale,2026,324.07896227999998
21-guemez,2016,251.1932329
21-guemez,2021,332.04023100000001
21-guemez,2026,415.79856060000003
22-tepic,2016,525.44643150000002
22-tepic,2021,630.91254609999999
22-tepic,2026,761.05844450000006
23-guadalajara,2016,2522.9865410000002
23-guadalajara,2021,2768.550467
23-guadalajara,2026,3167.973246
24-aguascalientes,2016,1692.6647710000002
24-aguascalientes,2021,2077.9500210000001
24-aguascalientes,2026,2531.6975130000001
25-san_luis_potosi,2016,975.50072740000007
25-san_luis_potosi,2021,1239.826327
25-san_luis_potosi,2026,1523.6464659999999
26-salamanca,2016,1073.382996
26-salamanca,2021,1363.3500880000001
26-salamanca,2026,1697.8467280000002
27-manzanillo,2016,449.92779150000001
27-manzanillo,2021,525.73575249999999
27-manzanillo,2026,626.35925090000001
28-carapan,2016,748.28288350000003
28-carapan,2021,889.47978949999992
28-carapan,2026,1073.3489400000001
29-lazaro_cardenas,2016,716.93195220000007
29-lazaro_cardenas,2021,808.55583060000004
29-lazaro_cardenas,2026,929.86789090000002
30-queretaro,2016,2145.0086460000002
30-queretaro,2021,2671.9988320000002
30-queretaro,2026,3272.297556
31-central,2016,9227.683841
31-central,2021,10776.91642
31-central,2026,12661.73057
32-poza_rica,2016,693.75914840000007
32-poza_rica,2021,815.21595690000004
32-poza_rica,2026,967.23880309999993
33-veracruz,2016,726.27091429999996
33-veracruz,2021,889.71751649999987
33-veracruz,2026,1056.2925970000001
34-puebla,2016,2297.8768329999998
34-puebla,2021,2728.5906030000001
34-puebla,2026,3262.7455530000002
35-acapulco,2016,649.99343670000007
35-acapulco,2021,786.62345849999997
35-acapulco,2026,932.7918899
36-temascal,2016,893.21776860000011
36-temascal,2021,1033.390717
36-temascal,2026,1232.6021089999999
37-coatzacoalcos,2016,757.92803470000001
37-coatzacoalcos,2021,837.08922440000003
37-coatzacoalcos,2026,993.67943489999993
38-tabasco,2016,1109.983876
38-tabasco,2021,1366.5952
38-tabasco,2026,1670.089847
39-grijalva,2016,635.31505170000014
39-grijalva,2021,796.4216705
39-grijalva,2026,978.38689869999996
40-ixtepec,2016,256.41010619999997
40-ixtepec,2021,315.1424586
40-ixtepec,2026,384.12469730000004
41-lerma,2016,370.33012639999998
41-lerma,2021,459.96909770000002
41-lerma,2026,558.88076610000007
