LOAD_ZONE,balancing_area
00-autoabasto_local,00-autoabasto
01-hermosillo,04-noroeste
02-cananea,04-noroeste
03-obregon,04-noroeste
04-los_mochis,04-noroeste
05-culiacan,04-noroeste
06-mazatlan,04-noroeste
07-juarez,05-norte
08-moctezuma,05-norte
09-chihuahua,05-norte
10-durango,05-norte
11-laguna,05-norte
12-rio_escondido,06-noreste
13-nuevo_laredo,06-noreste
14-reynosa,06-noreste
15-matamoros,06-noreste
16-monterrey,06-noreste
17-saltillo,06-noreste
18-valles,06-noreste
19-huasteca,06-noreste
20-tamazunchale,06-noreste
21-guemez,06-noreste
22-tepic,03-occidental
23-guadalajara,03-occidental
24-aguascalientes,03-occidental
25-san_luis_potosi,03-occidental
26-salamanca,03-occidental
27-manzanillo,03-occidental
28-carapan,03-occidental
29-lazaro_cardenas,03-occidental
30-queretaro,03-occidental
31-central,01-central
32-poza_rica,02-oriental
33-veracruz,02-oriental
34-puebla,02-oriental
35-acapulco,02-oriental
36-temascal,02-oriental
37-coatzacoalcos,02-oriental
38-tabasco,02-oriental
39-grijalva,02-oriental
40-ixtepec,02-oriental
41-lerma,07-peninsular
42-merida,07-peninsular
43-cancun,07-peninsular
44-chetumal,07-peninsular
45-cozumel,07-peninsular
46-tijuana,08-baja_california
47-ensenada,08-baja_california
48-mexicali,08-baja_california
49-san_luis_rio_colorado,08-baja_california
50-villa_constitucion,09-baja_california_sur-la_paz
51-la_paz,09-baja_california_sur-la_paz
52-los_cabos,09-baja_california_sur-la_paz
53-mulege,10-baja_california_sur-mulege
