project_name,gen_tech,load_zone,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,balancing_area
cerro_prieto_i_u5,geothermal,08-baja_california,0.00,0.00,,,14.10,28.20,,28.20,,,1.00,operational,,,48-mexicali
cerro_prieto_ii_central,geothermal,08-baja_california,0.00,0.00,,,14.10,206.60,,206.60,,,2.00,operational,,,48-mexicali
cerro_prieto_iii_central,geothermal,08-baja_california,0.00,0.00,,,14.10,206.60,,206.60,,,3.00,operational,,,48-mexicali
cerro_prieto_iv_central,geothermal,08-baja_california,0.00,0.00,,,14.10,93.90,,93.90,,,4.00,operational,,,48-mexicali
cerro_prieto_fotovoltaica,solar,08-baja_california,0.00,0.00,,,0.00,5.00,,5.00,,,5.00,operational,,,48-mexicali
cipres_tg,gas_turbine_diesel,08-baja_california,18.20,0.00,,,5.50,26.70,,26.70,,,6.00,operational,d_bcn,diesel,47-ensenada
mexicali,combined_cycle_natural_gas,08-baja_california,7.90,0.00,,,7.70,474.80,,474.80,,,7.00,operational,g_i_noro,natural_gas,48-mexicali
mexicali_tg_1,gas_turbine_diesel,08-baja_california,22.30,0.00,,,5.50,25.40,,25.40,,,8.00,operational,d_bcn,diesel,48-mexicali
mexicali_tg_2,gas_turbine_diesel,08-baja_california,22.30,0.00,,,5.50,17.60,,17.60,,,9.00,operational,d_bcn,diesel,48-mexicali
mexicali_tg_3,gas_turbine_diesel,08-baja_california,22.30,0.00,,,5.50,17.60,,17.60,,,10.00,operational,d_bcn,diesel,48-mexicali
presidente_juarez_rosarito,combined_cycle_natural_gas,08-baja_california,11.00,0.00,,,7.70,749.00,,749.00,,,11.00,operational,g_i_noro,natural_gas,46-tijuana
presidente_juarez_rosarito5_tc,thermal_fuel_oil,08-baja_california,11.00,0.00,,,7.10,149.80,,149.80,,,12.00,operational,c_n_vizc,fuel_oil,46-tijuana
presidente_juarez_rosarito6_tc,thermal_fuel_oil,08-baja_california,11.00,0.00,,,7.10,149.80,,149.80,,,13.00,operational,c_n_vizc,fuel_oil,46-tijuana
tijuana_1_tg,gas_turbine_natural_gas,08-baja_california,10.80,0.00,,,5.50,29.30,,29.30,,,14.00,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_2_tg,gas_turbine_natural_gas,08-baja_california,10.80,0.00,,,5.50,29.30,,29.30,,,15.00,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_3_tg_150mw,gas_turbine_natural_gas,08-baja_california,10.80,0.00,,,5.50,148.40,,148.40,,,16.00,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_tg_central,gas_turbine_natural_gas,08-baja_california,10.80,0.00,,,5.50,133.50,,133.50,,,17.00,operational,g_i_jovibn,natural_gas,46-tijuana
baja_california_sur_i,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,10.30,0.00,,,7.40,156.80,,156.80,,,18.00,operational,c_n_chih,fuel_oil,51-la_paz
ciudad_constitucion,gas_turbine_diesel,09-baja_california_sur-la_paz,19.20,0.00,,,5.50,32.40,,32.40,,,19.00,operational,d_bcn,diesel,50-villa_constitucion
guerrero_negro,gas_turbine_diesel,10-baja_california_sur-mulege,27.80,0.00,,,5.50,12.20,,12.20,,,20.00,operational,d_bcn,diesel,53-mulege
guerrero_negro_ii,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.30,0.00,,,7.40,9.90,,9.90,,,21.00,operational,c_n_vizc,fuel_oil,53-mulege
la_paz_tg1,gas_turbine_diesel,09-baja_california_sur-la_paz,18.20,0.00,,,5.50,17.60,,17.60,,,22.00,operational,d_bcn,diesel,51-la_paz
la_paz_tg2,gas_turbine_diesel,09-baja_california_sur-la_paz,18.20,0.00,,,5.50,24.40,,24.40,,,23.00,operational,d_bcn,diesel,51-la_paz
los_cabos_cfe_25000,gas_turbine_diesel,09-baja_california_sur-la_paz,9.60,0.00,,,5.50,74.10,,74.10,,,24.00,operational,d_bcn,diesel,52-los_cabos
los_cabos_cfe_30000,gas_turbine_diesel,09-baja_california_sur-la_paz,11.40,0.00,,,5.50,102.80,,102.80,,,25.00,operational,d_bcn,diesel,52-los_cabos
los_cabos_1_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,18.10,0.00,,,5.50,29.30,,29.30,,,26.00,operational,d_bcn,diesel,52-los_cabos
los_cabos_2_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,18.10,0.00,,,5.50,26.70,,26.70,,,27.00,operational,d_bcn,diesel,52-los_cabos
