LOAD_ZONE	balancing_area
16-Monterrey	06-Noreste
12-Rio_Escondido	06-Noreste
17-Saltillo	06-Noreste
13-Nuevo_Laredo	06-Noreste
14-Reynosa	06-Noreste
15-Matamoros	06-Noreste
19-Huasteca	06-Noreste
18-Valles	06-Noreste
20-Tamazunchale	06-Noreste
21-Guemez	06-Noreste
01-Hermosillo	04-Noroeste
02-Cananea	04-Noroeste
03-Obregon	04-Noroeste
04-Los_Mochis	04-Noroeste
06-Mazatlan	04-Noroeste
05-Culiacan	04-Noroeste
09-Chihuahua	05-Norte
10-Durango	05-Norte
07-Juarez	05-Norte
11-Laguna	05-Norte
08-Moctezuma	05-Norte
47-Ensenada	08-Baja_California
48-Mexicali	08-Baja_California
46-Tijuana	08-Baja_California
49-San_Luis_Rio_Colorado	08-Baja_California
25-San_Luis_Potosi	03-Occidental
30-Queretaro	03-Occidental
26-Salamanca	03-Occidental
24-Aguascalientes	03-Occidental
23-Guadalajara	03-Occidental
27-Manzanillo	03-Occidental
22-Tepic	03-Occidental
28-Carapan	03-Occidental
29-Lazaro_Cardenas	03-Occidental
34-Puebla	02-Oriental
32-Poza_Rica	02-Oriental
33-Veracruz	02-Oriental
37-Coatzacoalcos	02-Oriental
38-Tabasco	02-Oriental
39-Grijalva	02-Oriental
36-Temascal	02-Oriental
35-Acapulco	02-Oriental
40-Ixtepec	02-Oriental
42-Merida	07-Peninsular
43-Cancun	07-Peninsular
44-Chetumal	07-Peninsular
41-Lerma	07-Peninsular
45-Cozumel	07-Peninsular
31-Central	01-Central
51-La_Paz	09-Baja_California_Sur-La_Paz
50-Villa_Constitucion	09-Baja_California_Sur-La_Paz
52-Los_Cabos	09-Baja_California_Sur-La_Paz
53-Mulege	10-Baja_California_Sur-Mulege
00-Autoabasto_Local	00-Autoabasto
