load_zone	period	peak_demand_mw
01-hermosillo	2016	1739.2265239999999
01-hermosillo	2021	2051.3226629999999
01-hermosillo	2026	2416.5891449999999
02-cananea	2016	423.93790970000003
02-cananea	2021	528.91812460000006
02-cananea	2026	612.91763409999999
03-obregon	2016	850.16412509999998
03-obregon	2021	990.5780064999999
03-obregon	2026	1187.8814029999999
04-los_mochis	2016	724.57019530000002
04-los_mochis	2021	872.07385820000002
04-los_mochis	2026	1030.3638619999999
05-culiacan	2016	825.54789879999998
05-culiacan	2021	968.41523740000002
05-culiacan	2026	1162.2769960000001
06-mazatlan	2016	412.27763270000003
06-mazatlan	2021	472.4900164
06-mazatlan	2026	558.39497929999993
07-juarez	2016	858.76292670000009
07-juarez	2021	1058.7389470000001
07-juarez	2026	1270.0806239999999
08-moctezuma	2016	545.33105710000007
08-moctezuma	2021	673.70921610000005
08-moctezuma	2026	764.18732820000002
09-chihuahua	2016	1653.4254089999999
09-chihuahua	2021	1846.2748550000001
09-chihuahua	2026	2089.5901260000001
10-durango	2016	423.94981490000004
10-durango	2021	465.26781130000001
10-durango	2026	518.77194420000001
11-laguna	2016	1049.0037130000001
11-laguna	2021	1131.891877
11-laguna	2026	1257.0536220000001
12-rio_escondido	2016	390.03132319999997
12-rio_escondido	2021	462.13746700000002
12-rio_escondido	2026	539.36975870000003
13-nuevo_laredo	2016	309.16030119999999
13-nuevo_laredo	2021	359.64947889999996
13-nuevo_laredo	2026	406.45306919999996
14-reynosa	2016	708.94975149999993
14-reynosa	2021	872.15797359999999
14-reynosa	2026	1047.179511
15-matamoros	2016	374.33270089999996
15-matamoros	2021	432.50687589999995
15-matamoros	2026	488.90099019999997
16-monterrey	2016	4961.9306640000004
16-monterrey	2021	5894.9449670399999
16-monterrey	2026	6990.4891075200003
17-saltillo	2016	1389.6555390000001
17-saltillo	2021	1565.961237
17-saltillo	2026	1899.545629
18-valles	2016	331.41534589999998
18-valles	2021	405.02867379999998
18-valles	2026	478.90095839999998
19-huasteca	2016	653.40151809999998
19-huasteca	2021	752.64798160000009
19-huasteca	2026	878.98075349999999
20-tamazunchale	2016	206.74711100000002
20-tamazunchale	2021	245.62270695999999
20-tamazunchale	2026	291.27037947999997
21-guemez	2016	242.9135086
21-guemez	2021	309.27844520000002
21-guemez	2026	373.70461710000001
22-tepic	2016	513.81498810000005
22-tepic	2021	603.60116930000004
22-tepic	2026	711.37439619999998
23-guadalajara	2016	2467.1369370000002
23-guadalajara	2021	2648.703548
23-guadalajara	2026	2961.1589910000002
24-aguascalientes	2016	1655.195424
24-aguascalientes	2021	1987.9982890000001
24-aguascalientes	2026	2366.4211379999997
25-san_luis_potosi	2016	953.90674409999997
25-san_luis_potosi	2021	1186.1558710000002
25-san_luis_potosi	2026	1424.178514
26-salamanca	2016	1049.622261
26-salamanca	2021	1304.332451
26-salamanca	2026	1587.00649
27-manzanillo	2016	439.96805189999992
27-manzanillo	2021	502.97734110000005
27-manzanillo	2026	585.46874709999997
28-carapan	2016	731.71866409999996
28-carapan	2021	850.97537570000009
28-carapan	2026	1003.277685
29-lazaro_cardenas	2016	701.06172659999993
29-lazaro_cardenas	2021	773.55450889999997
29-lazaro_cardenas	2026	869.1634845000001
30-queretaro	2016	2097.526077
30-queretaro	2021	2556.3315069999999
30-queretaro	2026	3058.6727149999997
